# Title: An ALMA survey of submillimeter galaxies in the Extended 
#        Chandra Deep Field South: Source Catalog and multiplicity 
# Authors: Hodge J.A., Karim A., Smail I., Swinbank A.M., Walter F., Biggs A.D.,
         # Ivison R.J., Weiss A., Alexander D.M., Bertoldi F., Brandt W.N., 
         # Chapman S.C., Coppin K.E.K., Cox P., Danielson A.L.R., Dannerbauer H.,
         # De Breuck C., Decarli R., Edge A.C., Greve T.R., Knudsen K.K., 
         # Menten K.M., Rix H.-W., Schinnerer E., Simpson J.M., Wardlow J.L., 
         # van der Werf P. 
# Table: ALESS MAIN Sample Sources by LESS Field
# ================================================================================
# Byte-by-byte Description of file: apj467990t3_mrt.txt
# --------------------------------------------------------------------------------
   # Bytes Format Units    Label    Explanations
# --------------------------------------------------------------------------------
   # 1-  8 A8     ---      LESSID   LESS identification number
  # 10- 21 A12    ---      ALESSID  ALESS source identifier
  # 23- 24 I2     h        RAh      Hour of Right Ascension (J2000)
  # 26- 27 I2     min      RAm      Minute of Right Ascension (J2000)
  # 29- 33 F5.2   s        RAs      Second of Right Ascension (J2000)
      # 35 A1     ---      DE-      Sign of the Declination (J2000)
  # 36- 37 I2     deg      DEd      Degree of Declination (J2000)
  # 39- 40 I2     arcmin   DEm      Arcminute of Declination (J2000)
  # 42- 45 F4.1   arcsec   DEs      Arcsecond of Declination (J2000)
  # 47- 50 F4.2   arcsec e_RAs      Uncertainty in RAs
  # 52- 55 F4.2   arcsec e_DEs      Uncertainty in Declination
  # 57- 59 F3.1   mJy      Spk      Peak flux density
  # 61- 63 F3.1   mJy    e_Spk      Uncertainty in Spk
  # 65- 67 F3.1   mJy      Sint     Integrated flux density
  # 69- 71 F3.1   mJy    e_Sint     Uncertainty in Sint
  # 73- 76 F4.1   ---      SNR      Peak signal-to-noise ratio
  # 78- 80 F3.1   mJy      Sbest    Best flux density estimate (1)
  # 82- 84 F3.1   mJy    e_Sbest    Uncertainty in Sbest
      # 86 A1     ---      BiggsID  Biggs et al. 2011 counterpart identification
# --------------------------------------------------------------------------------
# Note (1): Primary-beam corrected.
# --------------------------------------------------------------------------------
lessid alessid ra_alma dec_alma e_ra e_dec peak880 e_peak880 f880 e_f880 peaksnr best880 e_best880 
LESS_80  ALESS_080.1   3:31:42.80 -27:48:36.9 0.11 0.15 2.2 0.5 2.7 1.0  4.7 4.0 0.9  
LESS_80  ALESS_080.2   3:31:42.62 -27:48:41.0 0.13 0.17 1.9 0.5 1.8 0.8  3.9 3.5 0.9  
LESS_82  ALESS_082.1   3:32:54.00 -27:38:14.9 0.13 0.14 1.5 0.4 1.7 0.7  4.1 1.9 0.5  
LESS_83  ALESS_083.4   3:33:08.71 -28:05:18.5 0.15 0.13 1.2 0.3 1.5 0.6  3.9 1.4 0.4  
LESS_84  ALESS_084.1   3:31:54.50 -27:51:05.6 0.13 0.11 2.4 0.5 2.4 0.8  5.1 3.2 0.6  
LESS_84  ALESS_084.2   3:31:53.85 -27:51:04.3 0.15 0.13 2.0 0.5 2.1 0.8  4.2 3.2 0.8  
LESS_87  ALESS_087.1   3:32:50.88 -27:31:41.5 0.15 0.14 1.2 0.3 1.7 0.7  3.8 1.3 0.4  
LESS_87  ALESS_087.3   3:32:51.27 -27:31:50.7 0.14 0.13 1.3 0.3 2.0 0.8  4.1 2.4 0.6  
LESS_88  ALESS_088.1   3:31:54.76 -27:53:41.5 0.08 0.06 3.0 0.4 3.3 0.7  8.0 4.6 0.6  
LESS_88  ALESS_088.2   3:31:55.39 -27:53:40.3 0.16 0.12 1.6 0.4 2.3 0.8  4.2 2.1 0.5  
LESS_88  ALESS_088.5   3:31:55.81 -27:53:47.2 0.18 0.13 1.5 0.4 2.5 0.9  4.0 2.9 0.7  
LESS_88  ALESS_088.11  3:31:54.95 -27:53:37.6 0.28 0.17 1.3 0.4 6.5 2.0  3.5 2.5 0.7  
LESS_92  ALESS_092.2   3:31:38.14 -27:43:43.4 0.14 0.19 1.3 0.4 1.6 0.7  3.6 2.4 0.7  
LESS_94  ALESS_094.1   3:33:07.59 -27:58:05.8 0.08 0.10 2.7 0.4 2.9 0.8  6.1 3.2 0.5  
LESS_98  ALESS_098.1   3:31:29.92 -27:57:22.7 0.06 0.08 3.7 0.5 5.0 1.0  8.0 4.8 0.6  
LESS_99  ALESS_099.1   3:32:51.82 -27:55:33.6 0.12 0.11 1.6 0.3 1.5 0.5  4.8 2.1 0.4  
LESS_102 ALESS_102.1   3:33:35.60 -27:40:23.0 0.08 0.10 2.8 0.5 3.2 0.9  6.2 3.1 0.5  
LESS_103 ALESS_103.3   3:33:25.04 -27:34:01.1 0.18 0.14 1.2 0.3 1.4 0.7  3.5 1.4 0.4  
LESS_107 ALESS_107.1   3:31:30.50 -27:51:49.1 0.13 0.11 1.5 0.3 2.1 0.7  4.8 1.9 0.4  
LESS_107 ALESS_107.3   3:31:30.72 -27:51:55.7 0.17 0.15 1.2 0.3 1.3 0.6  3.7 1.5 0.4  
LESS_110 ALESS_110.1   3:31:22.66 -27:54:17.2 0.07 0.06 4.1 0.5 4.6 0.9  8.7 4.1 0.5  
LESS_110 ALESS_110.5   3:31:22.96 -27:54:14.4 0.17 0.14 1.9 0.5 8.5 2.4  4.0 2.4 0.6  
LESS_112 ALESS_112.1   3:32:48.86 -27:31:13.3 0.04 0.04 5.7 0.4 5.9 0.7 15.5 7.6 0.5  
LESS_114 ALESS_114.1   3:31:50.49 -27:44:45.3 0.15 0.15 1.6 0.4 1.6 0.7  3.8 3.0 0.8  
LESS_114 ALESS_114.2   3:31:51.11 -27:44:37.3 0.14 0.15 1.7 0.4 1.8 0.8  4.0 2.0 0.5  
LESS_115 ALESS_115.1   3:33:49.70 -27:42:34.6 0.04 0.03 5.7 0.3 6.0 0.6 16.4 6.9 0.4  
LESS_116 ALESS_116.1   3:31:54.32 -27:45:28.9 0.08 0.10 2.7 0.4 2.9 0.7  6.6 3.1 0.5  
LESS_116 ALESS_116.2   3:31:54.44 -27:45:31.4 0.09 0.11 2.5 0.4 2.7 0.8  6.0 3.4 0.6  
LESS_118 ALESS_118.1   3:31:21.92 -27:49:41.4 0.09 0.11 2.6 0.4 2.4 0.7  5.9 3.2 0.5  
LESS_119 ALESS_119.1   3:32:56.64 -28:03:25.2 0.04 0.04 5.7 0.4 6.3 0.7 15.2 8.3 0.5  
LESS_122 ALESS_122.1   3:31:39.54 -27:41:19.7 0.06 0.07 3.6 0.4 4.3 0.8  8.8 3.7 0.4  
LESS_124 ALESS_124.1   3:32:04.04 -27:36:06.4 0.10 0.08 2.6 0.4 3.8 0.9  6.4 3.6 0.6  
LESS_124 ALESS_124.4   3:32:03.89 -27:36:00.1 0.18 0.16 1.5 0.4 8.4 2.3  3.9 2.2 0.6  
LESS_126 ALESS_126.1   3:32:09.61 -27:41:07.7 0.12 0.16 1.6 0.4 1.6 0.7  4.1 2.2 0.5  
