 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
-0.9576415  2.0595729  23.10 115.06 0.230236 00124  -0.9577778  2.0588889 119.13 1
 0.4900425 -0.1770305  24.99 123.94 0.261361 00053   0.4900000 -0.1766667 122.86 1
 0.4877850 -0.1759409   1.41   2.61 4.288651 00053   0.4900000 -0.1766667 122.86 0
-1.3252507 -2.1250994  27.49 131.25 0.197486 00003  -1.3255556 -2.1255556 126.45 1
 0.2853644  1.7124925  27.75 135.55 0.161725 00117   0.2855556  1.7122222 131.40 1
 0.2834803  1.7130684   1.31   3.89 2.637853 00117   0.2855556  1.7122222 131.40 0
 1.2294284 -0.1126782  26.28 135.61 0.205255 00058   1.2288889 -0.1133333 134.30 1
 2.2770579 -0.1214292  23.89 139.73 0.092125 00057   2.2766667 -0.1211111 138.05 1
-1.5601962 -0.1697443  25.98 150.64 0.070346 00054  -1.5600000 -0.1700000 145.67 1
 0.2759219  0.3873209  30.52 151.77 0.185976 00073   0.2755556  0.3866667 148.13 1
 2.0723004 -0.4099291  28.43 166.93 0.070350 00044   2.0722222 -0.4100000 165.62 1
-0.1295682 -0.4736381  27.86 168.57 0.029718 00042  -0.1300000 -0.4733333 165.84 1
 1.2156862  0.4945568  24.97 155.52 0.066436 00077   1.2155556  0.4944444 166.68 1
-0.7889465  1.5939312  38.43 190.03 0.069690 00113  -0.7888889  1.5933333 187.92 1
-0.7876064  1.5920329   1.14   4.06 1.518688 00113  -0.7888889  1.5933333 187.92 0
-1.2133113  1.3956319  38.26 192.71 0.158142 00103  -1.2133333  1.3955556 195.06 1
 1.8025739 -1.1337501  37.67 210.59 0.042437 00018   1.8022222 -1.1344444 200.94 1
-0.4870248 -0.6039875  40.28 252.37 0.060004 00033  -0.4877778 -0.6044444 244.65 1
-0.4534579 -1.7255048  58.09 291.01 0.170317 00010  -0.4533333 -1.7255556 283.75 1
-2.1890986  0.9884325  54.50 323.17 0.030538 00093  -2.1888889  0.9877778 313.47 1
 1.8010317  0.6982865  89.99 563.37 0.027468 00082   1.8011111  0.6977778 556.39 1
 1.1861824 -1.5507652   8.97  55.02 0.069549 10019   1.1855556 -1.5511111  50.53 1
 1.2566345 -0.9489212   7.24  35.83 0.354982 10028   1.2577778 -0.9500000  50.63 1
 1.2596470 -0.9507420   3.86   7.61 3.794369 10028   1.2577778 -0.9500000  50.63 0
-1.6814950  0.1919847   8.88  51.63 0.069025 10052  -1.6822222  0.1922222  50.76 1
-1.6817428  0.1945369   1.91   3.26 4.491509 10052  -1.6822222  0.1922222  50.76 0
-1.9552618  0.1065209  10.17  57.70 0.153031 10049  -1.9555556  0.1066667  50.81 1
 1.0163469 -0.6493977  12.05  50.67 0.815613 10032   1.0155556 -0.6500000  51.06 1
 1.0131307 -0.6495234   1.56   4.35 3.032280 10032   1.0155556 -0.6500000  51.06 0
 0.8504512 -0.5406777   1.20   3.39 2.568232 10034   0.8522222 -0.5422222  51.15 1
-0.1275493 -2.1249692  10.84  48.88 0.599386 10004  -0.1288889 -2.1244444  51.26 1
-0.1759986  1.6775620   1.98   3.20 4.505076 10094  -0.1777778  1.6766667  51.30 1
-0.1780789  1.6765412  11.78  46.58 1.223220 10094  -0.1777778  1.6766667  51.30 0
-0.1753076  1.6766676   2.88   5.29 4.114155 10094  -0.1777778  1.6766667  51.30 0
