GalaxyX   GalaxyY   GalaxyS850   GalaxyS500  GalaxyS350   GalaxyS250     z   SurveyID  SourceX  SourceY  SourceS500  SourceS350  SourceS250  SourceFlag 
 0.4900427 -0.1770295  24.99 123.94  325.72  709.46 0.261361 Survey000107  0.4900000 -0.1777778 122.28  321.60  695.65 1
-1.3252501 -2.1250951  27.49 131.25  330.31  676.04 0.197486 Survey000108 -1.3255556 -2.1255556 126.45  326.10  675.58 1
 0.2853645  1.7124946  27.75 135.55  350.21  744.49 0.161725 Survey000109  0.2855556  1.7122222 131.40  345.79  735.42 1
 1.2294298 -0.1126764  26.28 135.61  372.85  866.92 0.205255 Survey000110  1.2288889 -0.1133333 134.30  371.32  857.68 1
 2.2770596 -0.1214273  23.89 139.73  394.04  880.70 0.092125 Survey000111  2.2766667 -0.1211111 138.05  388.69  863.10 1
-1.5601958 -0.1697409  25.98 150.64  420.69  926.96 0.070346 Survey000112 -1.5600000 -0.1700000 145.67  413.05  913.02 1
 0.2759233  0.3873256  30.52 151.77  400.12  875.66 0.185976 Survey000113  0.2755556  0.3866667 148.13  392.28  858.33 1
 2.0723014 -0.4099287  28.43 166.93  472.42 1059.64 0.070350 Survey000114  2.0722222 -0.4100000 165.62  473.30 1064.22 1
-0.1295668 -0.4736330  27.86 168.57  495.87 1183.45 0.029718 Survey000115 -0.1300000 -0.4733333 165.84  488.25 1161.32 1
 1.2156869  0.4945571  24.97 155.52  469.15 1146.62 0.066436 Survey000116  1.2155556  0.4944444 166.68  478.43 1161.13 1
-0.7889450  1.5939357  38.43 190.03  498.26 1084.11 0.069690 Survey000117 -0.7888889  1.5933333 187.92  494.23 1067.47 1
-1.2133101  1.3956354  38.26 192.71  515.46 1151.74 0.158142 Survey000118 -1.2133333  1.3955556 195.06  518.18 1153.29 1
 1.8025744 -1.1337464  37.67 210.59  566.68 1192.18 0.042437 Survey000119  1.8022222 -1.1344444 200.94  554.67 1168.53 1
-0.4870230 -0.6039836  40.28 252.37  766.15 1887.08 0.060004 Survey000120 -0.4877778 -0.6044444 244.65  754.88 1853.76 1
-0.4534573 -1.7255028  58.09 291.01  773.49 1712.18 0.170317 Survey000121 -0.4533333 -1.7255556 283.75  763.72 1683.50 1
-2.1890986  0.9884380  54.50 323.17  923.77 2097.00 0.030538 Survey000122 -2.1888889  0.9877778 313.47  902.85 2026.96 1
 1.8010337  0.6982876  89.99 563.37 1709.82 4215.33 0.027468 Survey000123  1.8011111  0.6977778 556.39 1705.27 4212.55 1
 0.5073839  0.8099128   9.08  41.65  100.10  191.59 0.445522 Survey010001  0.5066667  0.8100000  50.26  105.56  189.19 1
 1.1861823 -1.5507606   8.97  55.02  163.12  388.37 0.069549 Survey010002  1.1855556 -1.5511111  50.53  157.88  378.00 1
 0.6460456 -1.7408172   7.68  36.07   89.03  177.04 0.447929 Survey010003  0.6455556 -1.7411111  50.72  115.52  205.63 1
-1.6814942  0.1919903   8.88  51.63  143.65  311.03 0.069025 Survey010004 -1.6822222  0.1922222  50.76  143.10  304.76 1
-1.6817423  0.1945404   1.91   3.26    2.92    1.32 4.491509 Survey010004 -1.6822222  0.1922222  50.76  143.10  304.76 0
-1.9552604  0.1065220  10.17  57.70  157.00  332.54 0.153031 Survey010005 -1.9555556  0.1066667  50.81  150.41  325.28 1
-1.2740690  1.5013680   7.65  23.07   34.22   37.62 2.261708 Survey010006 -1.2744444  1.5011111  51.12   55.67   47.21 1
-0.8530656  0.2425266   9.98  45.53  108.72  206.00 0.631323 Survey010007 -0.8533333  0.2422222  51.16  110.89  206.26 1
 0.0523687 -1.7503271   9.41  31.61   52.95   63.97 1.803531 Survey010008  0.0522222 -1.7500000  51.19   69.35   70.91 1
 0.0504556 -1.7496262   2.69   7.35    9.94    9.15 1.803537 Survey010008  0.0522222 -1.7500000  51.19   69.35   70.91 0
-0.1759983  1.6775652   1.98   3.20    2.72    1.15 4.505076 Survey010009 -0.1777778  1.6766667  51.30   95.70  135.71 1
-0.1780781  1.6765412  11.78  46.58   94.23  140.48 1.223220 Survey010009 -0.1777778  1.6766667  51.30   95.70  135.71 0
-0.1753073  1.6766696   2.88   5.29    5.30    2.80 4.114155 Survey010009 -0.1777778  1.6766667  51.30   95.70  135.71 0
